category,identifier,description,active,sourceLink
groceries-and-everyday,groceries-and-everyday/cakes-biscuits-and-snacks/snacks,Snacks,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/cakes-biscuits-and-snacks/snacks
groceries-and-everyday,groceries-and-everyday/yoghurt/yoghurt,Yoghurt,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/yoghurt/yoghurt
groceries-and-everyday,groceries-and-everyday/yoghurt/custard-and-jelly,Custard and jelly,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/yoghurt/custard-and-jelly
groceries-and-everyday,groceries-and-everyday/yoghurt/cream,Cream,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/yoghurt/cream
groceries-and-everyday,groceries-and-everyday/chocolate/chocolate-bars,Chocolate bars,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/chocolate/chocolate-bars
groceries-and-everyday,groceries-and-everyday/chocolate/raw-chocolate,Raw chocolate,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/chocolate/raw-chocolate
groceries-and-everyday,groceries-and-everyday/chocolate/chocolate-gifts,Chocolate gifts,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/chocolate/chocolate-gifts
groceries-and-everyday,groceries-and-everyday/chocolate/sweets,Sweets,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/chocolate/sweets
groceries-and-everyday,groceries-and-everyday/free-from/vegan,Vegan,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/free-from/vegan
groceries-and-everyday,groceries-and-everyday/free-from/gluten-free,Gluten free,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/free-from/gluten-free
groceries-and-everyday,groceries-and-everyday/free-from/no-added-sugar,No added sugar,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/free-from/no-added-sugar
groceries-and-everyday,groceries-and-everyday/meat-alternatives,Meat alternatives,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/meat-alternatives
groceries-and-everyday,groceries-and-everyday/ready-meals,Ready meals,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/ready-meals
groceries-and-everyday,groceries-and-everyday/cheese,Cheese,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/cheese
groceries-and-everyday,groceries-and-everyday/world-food/african,African,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/world-food/african
groceries-and-everyday,groceries-and-everyday/world-food/mexican,Mexican,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/world-food/mexican
groceries-and-everyday,groceries-and-everyday/world-food/mediterannean,Mediterannean,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/world-food/mediterannean
groceries-and-everyday,groceries-and-everyday/world-food/chinese-and-japanese,Chinese and japanese,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/world-food/chinese-and-japanese
groceries-and-everyday,groceries-and-everyday/world-food/indian,Indian,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/world-food/indian
groceries-and-everyday,groceries-and-everyday/world-food/thai-and-indonesian,Thai and indonesian,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/world-food/thai-and-indonesian
groceries-and-everyday,groceries-and-everyday/wine-beer-spirits,Wine beer spirits,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/wine-beer-spirits
groceries-and-everyday,groceries-and-everyday/baby-food,Baby food,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/baby-food
groceries-and-everyday,groceries-and-everyday/plastic-free.htm,Groceries and Everyday - Plastic free,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/plastic-free.htm
cleaning-and-household,cleaning-and-household/dish-washing/washing-up-liquid,Washing up liquid,FALSE,https://www.ethicalsuperstore.com/category/cleaning-and-household/dish-washing/washing-up-liquid
cleaning-and-household,cleaning-and-household/dish-washing/dish-washer,Dish washer,FALSE,https://www.ethicalsuperstore.com/category/cleaning-and-household/dish-washing/dish-washer
