providerKey,merchantKey,etlCode1,description,active
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/menstrual-care/intimate-wipes-washes,Intimate wipes washes,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/remedies-and-wellbeing/face-masks,Face masks,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/remedies-and-wellbeing/remedies,Remedies,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/remedies-and-wellbeing/light-therapy,Light therapy,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/remedies-and-wellbeing/sports-nutrition,Sports nutrition,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/beauty-gift-sets,Beauty gift sets,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/plastic-free.htm,"Beauty, Health & Wellbeing - Plastic free",FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/organic.htm,"Beauty, Health & Wellbeing - Organic",FALSE
ethical-superstore-web,ethical-superstore,baby-child-and-toys/clothing/baby,Baby,FALSE
ethical-superstore-web,ethical-superstore,baby-child-and-toys/clothing/tops-and-t_shirts,Tops and t_shirts,FALSE
ethical-superstore-web,ethical-superstore,baby-child-and-toys/clothing/knitwear-and-jumpers,Knitwear and jumpers,FALSE
ethical-superstore-web,ethical-superstore,baby-child-and-toys/clothing/coats-and-jackets,Coats and jackets,FALSE
ethical-superstore-web,ethical-superstore,baby-child-and-toys/clothing/trousers,Trousers,FALSE
ethical-superstore-web,ethical-superstore,baby-child-and-toys/clothing/dresses-and-skirts,Dresses and skirts,FALSE
ethical-superstore-web,ethical-superstore,baby-child-and-toys/clothing/pyjamas-and-underwear,Pyjamas and underwear,FALSE
ethical-superstore-web,ethical-superstore,baby-child-and-toys/clothing/accessories,Accessories,FALSE
ethical-superstore-web,ethical-superstore,baby-child-and-toys/clothing/school-uniform,School uniform,FALSE
ethical-superstore-web,ethical-superstore,baby-child-and-toys/feeding-and-nursing,Feeding and nursing,FALSE
ethical-superstore-web,ethical-superstore,baby-child-and-toys/nappies/eco-nappies,Eco nappies,FALSE
