providerKey,category,subcategory1,subcategory2,location,description,active
ethical-superstore,fashion,jewellery,necklaces,/category/fashion/jewellery/necklaces/,Necklaces,true
ethical-superstore,fashion,jewellery,earrings,/category/fashion/jewellery/earrings/,Earrings,true
ethical-superstore,fashion,jewellery,bracelets,/category/fashion/jewellery/bracelets/,Bracelets,true
ethical-superstore,fashion,jewellery,rings,/category/fashion/jewellery/rings/,Rings,true
ethical-superstore,fashion,footwear,mens,/category/fashion/footwear/mens/,Mens,true
ethical-superstore,fashion,footwear,womens,/category/fashion/footwear/womens/,Womens,true
ethical-superstore,fashion,footwear,slippers,/category/fashion/footwear/slippers/,Slippers,true
ethical-superstore,home-and-garden,living,decorative-accessories,/category/home-and-garden/living/decorative-accessories/,Decorative accessories,true
ethical-superstore,home-and-garden,living,home-furnishings,/category/home-and-garden/living/home-furnishings/,Home furnishings,true
ethical-superstore,home-and-garden,living,storage-baskets,/category/home-and-garden/living/storage-baskets/,Storage baskets,true
ethical-superstore,home-and-garden,living,lighting,/category/home-and-garden/living/lighting/,Lighting,true
ethical-superstore,home-and-garden,living,home-fragrance,/category/home-and-garden/living/home-fragrance/,Home fragrance,true
ethical-superstore,home-and-garden,living,books,/category/home-and-garden/living/books/,Books,true
ethical-superstore,home-and-garden,living,gifts,/category/home-and-garden/living/gifts/,Gifts,true
ethical-superstore,home-and-garden,living,cards-and-wrap,/category/home-and-garden/living/cards-and-wrap/,Cards and wrap,true
ethical-superstore,home-and-garden,garden-and-outdoor,garden-accessories,/category/home-and-garden/garden-and-outdoor/garden-accessories/,Garden accessories,true
ethical-superstore,home-and-garden,garden-and-outdoor,trees-plants-and-seeds,/category/home-and-garden/garden-and-outdoor/trees-plants-and-seeds/,Trees plants and seeds,true
ethical-superstore,home-and-garden,garden-and-outdoor,solar-garden-products,/category/home-and-garden/garden-and-outdoor/solar-garden-products/,Solar garden products,true
ethical-superstore,home-and-garden,garden-and-outdoor,wildlife,/category/home-and-garden/garden-and-outdoor/wildlife/,Wildlife,true
